element,type,result,error,duration_ms
MATCH,clause,pass,,6
OPTIONAL MATCH,clause,pass,,3
MANDATORY MATCH,clause,pass,,3
WHERE,clause,pass,,5
RETURN,clause,pass,,1
WITH,clause,pass,,6
UNWIND,clause,pass,,2
ORDER BY,clause,pass,,1
SKIP,clause,pass,,1
LIMIT,clause,pass,,1
CREATE,clause,pass,,3
DELETE,clause,pass,,4
SET,clause,pass,,5
REMOVE,clause,pass,,4
MERGE,clause,pass,,2
UNION,clause,pass,,1
UNION ALL,clause,pass,,1
CALL [YIELD],clause,pass,,1
Boolean,data_type,pass,,1
Integer,data_type,pass,,1
Float,data_type,pass,,0
String,data_type,pass,,0
Null,data_type,pass,,1
List,data_type,pass,,0
Map,data_type,pass,,1
Node,data_type,pass,,2
Relationship,data_type,pass,,7
Path,data_type,pass,,20
CASE (simple),expression,pass,,1
CASE (generic),expression,pass,,1
List comprehension,expression,pass,,1
Map projection,expression,pass,,3
count(),function,pass,,1
count(*),function,pass,,1
sum(),function,pass,,1
avg(),function,pass,,1
min(),function,pass,,1
max(),function,pass,,1
collect(),function,pass,,1
percentileDisc(),function,pass,,1
percentileCont(),function,pass,,1
stDev(),function,pass,,1
stDevP(),function,pass,,1
keys(),function,pass,,2
labels(),function,pass,,2
nodes(),function,pass,,2
relationships(),function,pass,,2
range(),function,pass,,0
reverse(),function,pass,,0
tail(),function,pass,,0
abs(),function,pass,,0
ceil(),function,pass,,0
floor(),function,pass,,0
round(),function,pass,,0
sign(),function,pass,,0
rand(),function,pass,,0
log(),function,pass,,1
log10(),function,pass,,0
exp(),function,pass,,0
e(),function,pass,,0
sqrt(),function,pass,,0
sin(),function,pass,,0
cos(),function,pass,,0
tan(),function,pass,,0
asin(),function,pass,,1
acos(),function,pass,,0
atan(),function,pass,,0
atan2(),function,pass,,0
pi(),function,pass,,0
degrees(),function,pass,,0
radians(),function,pass,,0
haversin(),function,pass,,0
toInteger() from float,function,pass,,0
toFloat() from int,function,pass,,0
toInteger() from bool,function,pass,,0
coalesce(),function,pass,,1
head(),function,pass,,0
last(),function,pass,,0
size(),function,pass,,0
size() string,function,pass,,1
toInteger(),function,pass,,0
toFloat(),function,pass,,0
toBoolean(),function,pass,,1
toString(),function,pass,,0
type(),function,fail,"Row mismatch: expected [['KNOWS']], got [['KNOWS'], ['KNOWS'], ['KNOWS'], ['KNOWS']]",3
id(),function,pass,,2
properties(),function,pass,,3
timestamp(),function,pass,,1
randomUUID(),function,pass,,0
left(),function,pass,,1
right(),function,pass,,1
trim(),function,pass,,0
lTrim(),function,pass,,0
rTrim(),function,pass,,0
toUpper(),function,pass,,0
toLower(),function,pass,,0
replace(),function,pass,,0
substring(),function,pass,,0
split(),function,pass,,0
reverse() string,function,pass,,0
toString() from bool,function,pass,,0
size() string length,function,pass,,0
datetime(),function,pass,,0
date(),function,pass,,0
time(),function,pass,,0
localtime(),function,pass,,0
localdatetime(),function,pass,,0
duration(),function,pass,,0
+,operator,pass,,0
-,operator,pass,,0
*,operator,pass,,0
/,operator,pass,,0
%,operator,pass,,0
^,operator,pass,,0
=,operator,pass,,0
<>,operator,pass,,1
<,operator,pass,,0
>,operator,pass,,0
<=,operator,pass,,0
>=,operator,pass,,0
IS NULL,operator,pass,,1
IS NOT NULL,operator,pass,,1
AND,operator,pass,,1
OR,operator,pass,,1
XOR,operator,pass,,0
NOT,operator,pass,,0
STARTS WITH,operator,pass,,0
ENDS WITH,operator,pass,,0
CONTAINS,operator,pass,,0
=~ (regex),operator,pass,,0
IN,operator,pass,,0
[] (list subscript),operator,pass,,1
+ (string concat),operator,pass,,0
